split,surface,model,n,r2,rmse_eV,rmse_meV,mae_eV,mae_meV,mbe_truth_minus_prediction_eV,mbe_truth_minus_prediction_meV
train_oof,ALL,fixed_surface_beta,17052,0.6804907369832386,0.01607725496501555,16.07725496501555,0.011979286439913653,11.979286439913652,0.0013189369044102242,1.3189369044102242
train_oof,ALL,fixed_beta_plus_residual_mlp_recursive_raw,17052,0.7725464508655149,0.0135648979655546,13.5648979655546,0.009768366066134324,9.768366066134325,0.0001523884828180978,0.1523884828180978
train_oof,ALL,fixed_beta_plus_residual_mlp_recursive_calibrated,17052,0.7486072763594134,0.014260886520985347,14.260886520985347,0.011127267231073674,11.127267231073674,-0.00448233756219827,-4.48233756219827
train_oof,ALL,hist_gradient_boosting_raw,17052,0.8836062067934822,0.009703649100453099,9.703649100453099,0.0070004377266547875,7.000437726654788,1.6359221595759791e-06,0.001635922159575979
train_oof,ALL,hist_gradient_boosting_calibrated,17052,0.8444116100959125,0.011219119288288159,11.219119288288159,0.009190376168089364,9.190376168089363,-0.005724491926319956,-5.724491926319955
train_oof,HSR,fixed_surface_beta,8526,0.5942424603810967,0.01485092795476572,14.85092795476572,0.011082441180112914,11.082441180112914,0.000845989807470961,0.845989807470961
train_oof,HSR,fixed_beta_plus_residual_mlp_recursive_raw,8526,0.6940602993609983,0.012895500739617956,12.895500739617956,0.009416383087271336,9.416383087271337,-3.604252565523412e-05,-0.03604252565523412
train_oof,HSR,fixed_beta_plus_residual_mlp_recursive_calibrated,8526,0.6555696294879065,0.013682674999872045,13.682674999872045,0.010852895812633611,10.85289581263361,-0.004481360577122973,-4.481360577122973
train_oof,HSR,hist_gradient_boosting_raw,8526,0.831744012123327,0.009563251040801269,9.56325104080127,0.006908374783702044,6.908374783702044,7.921995442640597e-05,0.07921995442640596
train_oof,HSR,hist_gradient_boosting_calibrated,8526,0.7800322586567415,0.010934521673087482,10.934521673087483,0.008933872634467405,8.933872634467404,-0.00547014682607601,-5.47014682607601
train_oof,TSR,fixed_surface_beta,8526,0.6945239669080531,0.01721645124009569,17.21645124009569,0.012876131699714391,12.876131699714392,0.001791884001349488,1.7918840013494879
train_oof,TSR,fixed_beta_plus_residual_mlp_recursive_raw,8526,0.7921085541975607,0.014202780513206819,14.202780513206818,0.010120349044997316,10.120349044997315,0.0003408194912914299,0.3408194912914299
train_oof,TSR,fixed_beta_plus_residual_mlp_recursive_calibrated,8526,0.7737523436302087,0.014816550663927135,14.816550663927135,0.011401638649513738,11.401638649513739,-0.004483314547273565,-4.483314547273565
train_oof,TSR,hist_gradient_boosting_raw,8526,0.9001701259999308,0.009842044567063385,9.842044567063386,0.007092500669607532,7.0925006696075314,-7.594811010725392e-05,-0.07594811010725391
train_oof,TSR,hist_gradient_boosting_calibrated,8526,0.8637820641757585,0.011496673909894936,11.496673909894936,0.009446879701711321,9.446879701711321,-0.0059788370265639,-5.9788370265639
validation_early,ALL,fixed_surface_beta,1810,0.6461669802121295,0.0171658264172279,17.1658264172279,0.012482059566986125,12.482059566986125,0.006968436783158646,6.968436783158646
validation_early,ALL,fixed_beta_plus_residual_mlp_recursive_raw,1810,0.7863167151298089,0.013339845901809625,13.339845901809625,0.009578510184227973,9.578510184227973,0.0026810848181933783,2.681084818193378
validation_early,ALL,fixed_beta_plus_residual_mlp_recursive_calibrated,1810,0.7923011507973341,0.013151720849796857,13.151720849796856,0.010038839728696793,10.038839728696793,-0.0012855136961139968,-1.2855136961139968
validation_early,ALL,hist_gradient_boosting_raw,1810,0.7552223796591514,0.014277474438314456,14.277474438314457,0.010226121624934085,10.226121624934084,0.004098253532688531,4.098253532688531
validation_early,ALL,hist_gradient_boosting_calibrated,1810,0.7737144917230585,0.013727577620428632,13.727577620428631,0.010591891721557736,10.591891721557737,-0.0016882589486242846,-1.6882589486242845
validation_early,HSR,fixed_surface_beta,905,0.566466652052905,0.015280042144912102,15.280042144912102,0.01097887055638846,10.97887055638846,0.0058421528551514425,5.842152855151443
validation_early,HSR,fixed_beta_plus_residual_mlp_recursive_raw,905,0.6982542391616873,0.012747760222084967,12.747760222084967,0.00908371111960303,9.08371111960303,0.0018610329854066986,1.8610329854066987
validation_early,HSR,fixed_beta_plus_residual_mlp_recursive_calibrated,905,0.6953845262258815,0.01280823471793643,12.80823471793643,0.00990769348437711,9.90769348437711,-0.001919318946352168,-1.919318946352168
validation_early,HSR,hist_gradient_boosting_raw,905,0.671421992048154,0.013302477819625446,13.302477819625446,0.009467880942058476,9.467880942058477,0.002764403175482745,2.764403175482745
validation_early,HSR,hist_gradient_boosting_calibrated,905,0.6742579701186306,0.013244946136809292,13.244946136809292,0.01045415257026454,10.45415257026454,-0.0029218086841396916,-2.9218086841396915
validation_early,TSR,fixed_surface_beta,905,0.6420721422586043,0.0188640267499415,18.8640267499415,0.013985248577583787,13.985248577583787,0.00809472071116585,8.09472071116585
validation_early,TSR,fixed_beta_plus_residual_mlp_recursive_raw,905,0.8054739606836592,0.01390674608556158,13.90674608556158,0.010073309248852918,10.073309248852919,0.0035011366509800587,3.5011366509800586
validation_early,TSR,fixed_beta_plus_residual_mlp_recursive_calibrated,905,0.8170540780215214,0.013486461583091785,13.486461583091785,0.01016998597301648,10.169985973016479,-0.0006517084458758256,-0.6517084458758255
validation_early,TSR,hist_gradient_boosting_raw,905,0.7679170417878424,0.015190017660681584,15.190017660681583,0.010984362307809695,10.984362307809695,0.005432103889894315,5.432103889894315
validation_early,TSR,hist_gradient_boosting_calibrated,905,0.7973603032674081,0.014193807680915174,14.193807680915175,0.010729630872850933,10.729630872850933,-0.0004547092131088779,-0.4547092131088779
validation_calibration,ALL,fixed_surface_beta,1820,0.5803290251955315,0.018725299396066274,18.725299396066273,0.013069399389329881,13.069399389329881,0.006672492185798307,6.672492185798307
validation_calibration,ALL,fixed_beta_plus_residual_mlp_recursive_raw,1820,0.7393176067261962,0.014758089956663337,14.758089956663337,0.009904637907160544,9.904637907160543,0.004399773222241731,4.399773222241731
validation_calibration,ALL,fixed_beta_plus_residual_mlp_recursive_calibrated,1820,0.7741331907817072,0.013737272455094917,13.737272455094917,0.010024063165081618,10.024063165081618,8.499821907991488e-05,0.08499821907991488
validation_calibration,ALL,hist_gradient_boosting_raw,1820,0.6746409344170701,0.016487536102610223,16.48753610261022,0.011339436111647496,11.339436111647496,0.005315831319176749,5.315831319176749
validation_calibration,ALL,hist_gradient_boosting_calibrated,1820,0.7091883646544563,0.015587633742713863,15.587633742713862,0.01164079335073596,11.64079335073596,-9.394194823751325e-18,-9.394194823751324e-15
validation_calibration,HSR,fixed_surface_beta,910,0.42784748120214033,0.017554432185203625,17.554432185203623,0.011892927896064791,11.89292789606479,0.006606542947015683,6.606542947015683
validation_calibration,HSR,fixed_beta_plus_residual_mlp_recursive_raw,910,0.6355092704299801,0.014011160975840889,14.01116097584089,0.009281790184894792,9.281790184894792,0.0041012484241745905,4.101248424174591
validation_calibration,HSR,fixed_beta_plus_residual_mlp_recursive_calibrated,910,0.6832391209881633,0.01306160809807149,13.06160809807149,0.009614498666443537,9.614498666443536,0.00016999643815982928,0.1699964381598293
validation_calibration,HSR,hist_gradient_boosting_raw,910,0.5467990488830563,0.015623426390725961,15.623426390725962,0.010623221306313945,10.623221306313946,0.004866670382218958,4.866670382218958
validation_calibration,HSR,hist_gradient_boosting_calibrated,910,0.5921953709949686,0.014820298631924871,14.82029863192487,0.011103704666674478,11.103704666674478,-1.0638620631572929e-16,-1.0638620631572929e-13
validation_calibration,TSR,fixed_surface_beta,910,0.5979766751196945,0.01982714264839306,19.82714264839306,0.014245870882594968,14.245870882594968,0.006738441424580932,6.738441424580931
validation_calibration,TSR,fixed_beta_plus_residual_mlp_recursive_raw,910,0.755288044733636,0.01546899500442766,15.468995004427661,0.010527485629426294,10.527485629426293,0.004698298020308872,4.698298020308872
validation_calibration,TSR,fixed_beta_plus_residual_mlp_recursive_calibrated,910,0.7884938993575112,0.014381227447732419,14.38122744773242,0.0104336276637197,10.4336276637197,4.880101207143545e-19,4.880101207143546e-16
validation_calibration,TSR,hist_gradient_boosting_raw,910,0.6936253325459685,0.01730855976918122,17.30855976918122,0.01205565091698105,12.05565091698105,0.00576499225613454,5.76499225613454
validation_calibration,TSR,hist_gradient_boosting_calibrated,910,0.7276582505208379,0.01631892765639181,16.31892765639181,0.012177882034797438,12.177882034797438,8.759781666822663e-17,8.759781666822663e-14
test,ALL,fixed_surface_beta,3644,0.6278280117943317,0.016935883084385546,16.935883084385544,0.012488848900818071,12.488848900818072,0.00752832091814971,7.52832091814971
test,ALL,fixed_beta_plus_residual_mlp_recursive_raw,3644,0.7239761892118641,0.014585095574892824,14.585095574892824,0.010427779832559162,10.427779832559162,0.0032171270928476876,3.217127092847688
test,ALL,fixed_beta_plus_residual_mlp_recursive_calibrated,3644,0.7450563532488776,0.014017097767416855,14.017097767416855,0.010493778154253584,10.493778154253585,-0.0007440808941130085,-0.7440808941130085
test,ALL,hist_gradient_boosting_raw,3644,0.6724767707073804,0.015887554718324575,15.887554718324575,0.011418168446751987,11.418168446751988,0.0055796914352409625,5.579691435240963
test,ALL,hist_gradient_boosting_calibrated,3644,0.7158060812918352,0.01479937571592925,14.79937571592925,0.0110443512257536,11.044351225753601,-0.0003529460905060472,-0.3529460905060472
test,HSR,fixed_surface_beta,1822,0.5458494998843677,0.01592041246459218,15.920412464592179,0.011549943712757117,11.549943712757118,0.006710764013808822,6.710764013808823
test,HSR,fixed_beta_plus_residual_mlp_recursive_raw,1822,0.6364687959989253,0.014243780229690032,14.243780229690032,0.010322221135431343,10.322221135431343,0.0027853620006634792,2.785362000663479
test,HSR,fixed_beta_plus_residual_mlp_recursive_calibrated,1822,0.6567017275226072,0.013841725292074272,13.841725292074273,0.010675949992321843,10.675949992321843,-0.0010062969920911656,-1.0062969920911655
test,HSR,hist_gradient_boosting_raw,1822,0.573201517654764,0.015433550596393134,15.433550596393134,0.011130517360714947,11.130517360714947,0.004819071997330696,4.8190719973306955
test,HSR,hist_gradient_boosting_calibrated,1822,0.6198500629990361,0.01456571735331739,14.56571735331739,0.01110700872333457,11.10700872333457,-0.001082162438672343,-1.082162438672343
test,TSR,fixed_surface_beta,1822,0.6493567724967226,0.01789381844809014,17.89381844809014,0.013427754088879027,13.427754088879027,0.008345877822490596,8.345877822490596
test,TSR,fixed_beta_plus_residual_mlp_recursive_raw,1822,0.7562661859497204,0.014918604178200044,14.918604178200043,0.010533338529686983,10.533338529686983,0.0036488921850318956,3.6488921850318956
test,TSR,fixed_beta_plus_residual_mlp_recursive_calibrated,1822,0.7794826613388018,0.014190303047553164,14.190303047553163,0.010311606316185325,10.311606316185326,-0.00048186479613485133,-0.48186479613485134
test,TSR,hist_gradient_boosting_raw,1822,0.7080049911888758,0.016328940744705037,16.328940744705037,0.011705819532789027,11.705819532789027,0.00634031087315123,6.34031087315123
test,TSR,hist_gradient_boosting_calibrated,1822,0.752632410366576,0.01502940188915519,15.02940188915519,0.01098169372817263,10.98169372817263,0.00037627025766024866,0.3762702576602487
